0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
13,3,5,14,6,58,19,63,20,44,47,28,51,55,7,40,46,50,57,18,30,26,10,42,21,48,45,22,62,1,32,37,29,23,27,11,35,25,56,39,60,15,43,12,8,24,16,33,2,4,53,34,59,9,41,17,52,0,49,31,38,54,61,36
58,63,38,44,32,23,2,35,31,13,4,7,9,36,6,28,47,8,49,14,20,52,15,17,25,18,27,54,24,41,26,56,60,42,50,19,40,34,57,0,48,10,53,62,30,45,12,46,29,43,21,22,3,61,51,55,16,39,33,5,59,1,37,11
43,15,17,18,56,58,9,27,33,49,10,28,7,57,13,21,59,50,8,35,30,2,45,55,36,14,19,3,37,38,16,46,47,5,62,63,11,52,44,26,20,29,6,23,31,24,40,61,60,39,1,22,32,4,51,53,34,0,54,48,12,42,25,41
26,4,32,39,24,59,37,9,56,13,49,6,57,14,38,55,34,60,44,20,1,0,33,23,10,16,17,3,43,29,46,7,62,30,5,61,35,19,18,2,8,27,28,40,31,25,36,52,21,47,41,12,15,48,51,50,63,11,54,45,58,53,42,22
59,46,8,10,40,22,54,20,29,33,1,60,19,36,30,34,18,48,16,13,0,37,38,44,31,32,7,57,58,15,53,28,56,62,24,41,50,43,42,55,14,4,52,23,27,17,3,51,39,21,25,9,63,35,47,5,26,49,6,11,45,2,12,61
47,24,13,14,45,41,40,8,36,18,61,27,2,38,32,53,12,5,0,37,15,39,46,3,16,63,17,57,28,30,1,55,52,25,9,58,21,51,35,31,11,48,42,50,60,33,4,7,6,34,10,22,29,19,23,62,43,44,54,56,20,49,59,26
47,14,5,20,43,25,53,42,3,7,38,58,30,2,50,34,56,35,33,39,54,16,60,49,31,32,11,62,57,13,44,28,24,10,51,46,1,0,55,8,61,52,41,27,19,59,48,22,12,17,26,15,29,37,18,40,45,36,6,21,4,9,63,23
63,14,52,8,6,12,47,29,20,15,58,7,24,21,26,30,38,41,39,4,45,18,60,31,62,57,49,9,0,37,33,61,23,54,19,51,13,25,34,5,3,17,40,55,46,48,32,10,36,42,22,28,1,27,2,11,44,56,35,43,53,59,50,16
62,8,32,20,52,41,1,35,42,63,37,0,6,5,25,11,22,55,13,33,27,24,43,17,29,48,56,58,16,15,2,46,34,31,38,59,49,23,3,26,44,10,61,47,12,18,51,19,39,9,54,21,57,36,60,7,40,50,4,28,30,14,45,53
35,16,21,14,62,24,32,11,60,19,50,51,28,52,5,18,33,53,31,15,25,8,2,6,38,17,61,12,58,48,3,46,54,37,43,26,36,13,49,22,42,9,41,40,29,30,4,59,27,20,34,57,55,56,23,63,1,10,44,47,0,7,39,45
36,14,20,47,62,38,46,26,44,21,33,53,22,4,27,11,24,55,39,45,50,43,37,60,1,41,19,15,63,0,29,23,35,49,51,32,56,30,34,16,9,52,59,13,2,5,57,28,10,40,8,25,31,6,42,17,48,18,58,54,61,12,3,7
15,54,37,62,56,51,40,7,31,25,11,14,27,30,22,24,44,53,4,19,18,34,6,60,52,26,3,49,23,8,9,55,5,29,33,58,57,13,32,48,41,12,10,21,39,35,17,61,47,38,1,0,20,45,28,2,46,16,63,42,43,36,59,50
62,29,36,59,43,13,46,18,12,2,38,7,8,57,20,10,9,41,26,60,24,0,54,25,35,28,15,32,49,6,30,33,27,23,17,50,61,4,31,47,19,56,44,63,52,3,53,21,14,51,48,1,16,45,39,22,37,58,55,34,5,42,11,40
28,46,43,13,54,51,45,16,21,42,56,1,40,19,38,12,4,50,30,61,24,34,3,36,20,55,11,10,58,15,37,2,41,9,6,26,14,53,49,52,5,32,35,48,60,23,18,44,25,62,47,8,31,57,22,29,33,17,59,39,27,63,0,7
14,31,23,42,52,57,54,7,58,13,2,8,38,16,62,32,25,33,49,55,24,4,17,15,45,11,40,36,37,26,59,46,6,1,9,5,10,22,39,3,30,35,51,50,61,60,21,19,12,44,34,20,48,63,29,41,28,56,0,53,43,47,18,27
49,11,37,19,13,8,55,45,61,16,18,59,15,63,24,21,30,14,4,60,3,32,54,27,33,51,31,62,2,20,17,34,56,22,41,35,47,7,48,9,44,12,52,10,6,42,58,5,53,23,1,46,40,25,29,43,0,28,38,50,36,39,26,57
3,25,20,29,48,19,60,42,34,46,47,14,32,43,2,27,7,35,21,53,23,8,61,9,15,6,59,1,5,63,26,18,55,4,39,38,37,44,22,58,10,62,54,17,28,16,51,11,49,40,33,24,52,30,12,57,0,56,45,41,13,31,36,50
8,2,33,0,10,51,3,14,28,6,27,26,32,53,35,4,41,47,38,49,31,57,22,29,24,40,13,54,18,46,25,58,44,23,45,48,36,60,50,63,17,16,55,62,5,9,15,34,1,37,7,19,20,52,59,61,30,21,12,39,43,11,56,42
60,50,0,55,17,54,14,36,20,38,19,29,46,37,23,6,47,48,63,43,10,5,56,44,40,27,21,22,26,45,15,25,31,62,30,9,2,13,3,57,52,4,11,61,24,35,41,28,42,16,32,51,18,58,39,34,33,1,12,49,8,59,53,7
57,58,19,9,61,13,55,46,11,3,27,62,44,53,60,23,42,29,2,1,20,52,43,51,21,30,10,39,34,4,38,59,48,63,18,33,24,15,5,28,35,36,37,14,54,26,56,41,50,49,12,22,6,7,31,40,45,17,25,8,0,16,32,47
14,6,29,63,42,1,58,47,49,16,32,22,26,39,51,62,36,12,59,54,21,13,50,8,33,0,61,24,15,10,41,34,43,57,48,17,35,53,52,38,60,18,30,45,56,11,2,4,40,20,37,9,27,3,5,25,19,28,23,7,44,46,55,31
25,28,23,60,53,33,5,14,51,22,42,62,26,8,34,39,37,49,61,40,32,46,50,63,27,36,12,29,30,6,44,0,10,7,54,16,18,47,19,1,4,52,41,2,59,57,9,56,17,45,11,58,13,55,48,24,3,20,35,21,38,15,31,43
57,8,43,38,44,62,55,13,56,49,41,9,53,14,21,58,6,35,30,23,29,0,3,34,26,39,19,22,37,42,32,60,4,36,17,51,1,45,50,5,25,63,24,61,54,40,15,47,7,18,10,59,12,48,20,11,52,16,27,2,28,33,31,46
11,14,55,17,8,42,36,58,23,49,15,33,45,60,22,44,47,24,41,50,34,54,53,56,27,20,1,63,51,26,18,38,10,57,61,39,43,29,6,59,13,32,12,0,19,31,40,30,3,48,2,4,46,16,5,21,9,52,28,35,25,7,37,62
26,62,60,47,11,28,19,46,43,2,53,36,35,9,4,42,50,7,21,1,59,10,8,3,44,25,54,5,55,23,12,33,37,61,41,38,52,20,49,18,63,15,34,40,32,17,6,45,13,58,16,30,0,27,31,39,24,51,29,56,14,22,48,57
24,39,14,38,5,42,33,28,53,50,19,23,20,61,11,55,13,46,36,30,6,7,59,45,60,15,57,26,44,31,4,3,40,29,56,8,51,25,27,54,22,16,21,37,1,9,49,32,63,35,2,12,62,43,47,17,52,18,41,0,58,48,34,10
7,41,53,37,22,20,35,17,33,12,60,36,2,43,34,32,38,10,18,3,19,23,26,56,24,25,4,63,52,40,55,62,28,48,61,39,15,45,8,59,13,29,47,31,5,49,27,46,14,54,57,0,50,21,1,9,16,6,11,51,42,58,30,44
16,48,56,31,5,1,27,26,44,41,49,11,38,23,36,43,21,45,4,55,13,61,39,34,6,7,2,52,40,58,47,9,32,33,15,28,46,22,29,63,3,60,20,0,53,17,51,30,54,14,62,50,8,37,12,42,18,10,57,25,24,19,35,59
23,16,51,1,5,55,37,8,4,32,46,17,52,27,22,39,44,59,57,35,41,6,40,49,9,25,63,42,3,38,15,26,56,31,18,36,47,12,29,0,33,28,19,10,54,43,14,20,34,2,62,24,7,11,13,60,45,48,58,61,30,50,53,21
49,28,5,15,21,4,55,9,24,18,3,40,62,54,26,37,45,39,31,46,2,16,17,14,13,61,38,60,47,0,63,58,43,12,25,44,7,20,23,51,19,33,48,53,57,10,41,29,30,59,27,6,50,56,22,11,36,34,35,52,32,42,8,1
34,13,47,50,48,3,6,57,61,35,5,45,41,56,22,10,37,28,4,12,51,59,55,44,53,27,43,15,16,39,17,0,33,49,60,58,25,54,20,32,26,14,62,31,8,11,7,40,2,46,24,19,36,18,30,9,23,21,29,42,52,63,38,1
24,3,18,7,62,26,46,11,49,30,45,29,12,4,32,15,1,22,25,28,37,23,41,27,19,39,2,34,10,33,57,44,51,38,36,59,21,48,0,60,58,42,6,61,56,5,63,53,54,16,43,20,40,8,50,31,35,52,9,47,13,17,14,55
32,18,45,58,49,29,22,27,53,13,6,28,39,54,40,12,51,57,21,26,33,23,59,15,48,17,10,56,19,25,43,52,63,30,4,41,24,44,61,37,1,38,36,31,14,5,34,8,20,7,3,16,47,55,9,35,0,62,2,42,60,11,50,46
12,13,36,53,9,61,11,14,62,1,18,38,24,8,45,28,10,46,31,35,47,17,49,34,30,26,60,4,40,15,21,63,33,43,59,55,27,41,22,16,54,7,5,51,50,23,42,57,52,2,44,20,37,32,3,19,58,56,0,29,25,48,39,6
21,20,42,13,8,46,41,63,37,16,31,28,59,7,6,60,24,2,36,47,4,34,54,53,55,29,12,32,33,25,23,38,44,43,18,40,1,30,58,5,56,10,11,61,49,0,52,45,48,14,3,62,17,57,22,35,50,19,26,27,15,9,39,51
37,4,38,32,45,9,22,50,28,63,21,40,62,34,42,43,27,15,23,0,39,31,46,52,47,13,14,20,41,49,2,54,1,44,3,6,12,29,30,57,24,33,56,16,25,17,11,55,36,59,51,8,5,48,26,61,10,18,35,19,53,7,58,60
7,35,41,62,16,2,43,31,23,58,49,24,15,29,52,0,51,56,55,50,39,30,8,60,6,5,1,33,61,45,17,12,46,21,40,28,37,57,32,53,48,36,27,42,9,34,44,18,26,47,63,20,11,10,14,19,3,59,22,4,38,54,13,25
16,34,38,63,2,59,28,37,23,1,55,17,49,44,31,27,52,56,24,5,0,39,54,20,4,7,36,6,11,29,62,42,51,21,35,13,47,22,25,3,14,48,10,12,53,9,45,57,46,15,41,32,18,40,58,43,33,8,26,61,19,30,50,60
3,9,36,29,26,7,5,20,56,12,58,52,32,48,47,49,10,61,55,13,50,63,34,41,35,31,53,16,23,60,30,11,21,59,19,4,45,40,42,43,2,22,15,14,24,51,8,33,28,44,37,54,62,18,27,17,1,46,57,39,25,0,38,6
11,19,5,55,14,6,31,7,53,0,10,51,58,26,47,44,52,27,43,28,40,63,13,25,54,18,59,8,1,33,23,30,3,9,22,29,61,56,17,32,36,45,42,15,20,49,24,38,37,4,2,34,12,39,46,21,41,57,60,35,48,16,62,50
58,1,57,43,37,5,41,21,12,56,34,9,53,3,46,33,40,59,18,42,60,26,23,0,10,62,25,63,32,44,31,55,27,45,6,14,51,50,15,7,16,2,61,29,38,24,52,54,13,47,8,35,39,30,49,17,4,36,19,20,22,11,28,48
11,40,25,21,51,9,14,44,29,8,4,28,26,54,2,49,3,59,0,42,43,48,34,1,38,32,41,12,7,52,45,20,60,50,16,62,10,57,15,6,55,24,37,23,56,47,35,31,53,39,19,63,5,22,58,18,61,46,33,30,27,17,13,36
15,31,28,9,56,2,57,50,47,38,10,58,45,61,1,8,37,6,43,35,46,24,36,59,48,39,25,55,16,29,44,41,42,51,30,52,34,49,33,21,5,14,7,18,23,40,19,12,0,17,53,26,4,62,60,22,11,13,63,32,20,3,54,27
60,17,50,14,32,6,57,47,43,24,45,23,7,42,13,29,63,9,53,20,35,34,62,1,22,11,41,58,31,15,19,0,51,28,2,36,18,52,3,48,5,16,8,46,37,56,40,12,10,54,4,44,30,27,61,26,25,55,33,49,39,59,38,21
33,20,53,7,59,58,61,18,34,9,1,52,17,38,39,55,6,60,25,14,30,29,26,32,8,48,11,15,49,62,12,37,22,3,4,27,63,44,2,10,13,54,56,50,45,16,5,41,47,31,35,28,57,43,19,24,46,36,0,21,42,40,51,23
17,58,19,39,23,38,33,37,3,24,45,49,52,60,18,54,43,2,28,61,0,5,48,51,12,30,14,16,26,31,20,25,62,13,21,15,40,50,42,57,46,47,32,35,56,1,29,8,10,9,55,36,22,6,53,7,11,27,41,44,4,59,34,63
48,13,28,8,34,58,50,63,14,17,41,36,2,57,25,45,49,39,6,56,7,60,62,15,12,52,30,21,16,32,27,33,3,55,31,24,44,4,54,9,35,0,10,37,46,40,29,23,1,26,51,47,18,38,61,20,11,53,43,19,5,22,59,42
38,53,57,15,60,41,51,22,49,13,63,59,36,17,31,52,11,37,54,2,50,45,20,7,5,44,1,27,14,35,58,16,26,56,62,29,48,23,8,21,3,24,32,43,10,19,30,9,33,47,0,25,4,34,46,42,39,40,61,6,28,18,55,12
34,36,14,42,23,33,18,2,50,46,27,25,35,21,6,7,0,29,31,52,39,51,45,53,48,60,13,59,61,32,37,30,15,10,20,12,54,4,58,11,22,57,17,55,5,47,24,43,9,40,16,41,62,8,3,56,38,44,19,1,26,49,63,28
14,24,8,55,48,39,31,9,7,29,37,57,2,54,52,60,13,58,25,42,35,16,11,49,1,53,30,61,17,40,34,51,27,19,4,50,12,62,5,0,63,6,47,36,46,18,21,20,41,43,33,38,22,28,23,3,26,15,59,10,45,44,32,56
13,1,14,42,48,22,28,58,3,12,55,21,32,15,54,61,38,49,62,24,45,27,4,0,33,56,35,7,30,52,41,37,5,26,17,47,9,34,51,60,50,18,23,53,59,43,40,44,31,8,11,20,29,57,16,39,63,6,19,46,36,10,2,25
37,53,41,16,45,19,47,5,22,63,60,6,27,10,18,50,44,35,61,34,3,23,58,14,55,29,24,48,1,9,49,8,0,13,17,26,32,7,30,43,42,52,28,21,20,12,39,36,57,25,56,59,54,62,4,46,2,31,11,51,15,40,33,38
17,49,0,31,59,2,46,32,19,40,26,33,61,5,43,16,6,8,11,9,63,18,44,34,42,41,35,53,57,55,24,23,51,62,4,10,54,48,3,12,37,21,27,25,1,29,15,60,13,22,56,14,28,45,58,7,20,50,36,52,39,47,38,30
47,46,13,56,12,17,2,39,26,10,29,55,63,11,58,23,25,3,37,61,16,38,40,54,49,52,19,35,32,15,24,43,0,53,51,1,42,62,20,18,5,59,45,50,14,34,30,4,48,8,57,41,33,21,36,22,9,28,7,31,27,60,44,6
39,29,55,52,11,36,4,0,5,59,14,42,57,46,2,43,16,40,51,30,12,8,26,63,47,49,58,10,17,7,34,6,32,44,56,24,19,45,25,13,41,18,33,22,37,28,62,1,61,27,15,54,31,9,53,3,21,50,48,20,38,35,60,23
44,0,40,41,63,59,56,21,47,53,14,16,26,30,5,20,3,31,6,62,8,61,39,4,12,18,10,7,32,35,55,60,46,27,38,49,54,37,2,13,50,17,15,29,33,28,52,58,25,19,9,43,36,22,48,51,24,42,23,11,1,57,45,34
54,17,35,48,27,19,30,47,21,59,26,43,44,31,42,15,39,63,37,62,46,13,33,56,50,51,23,20,10,8,0,41,6,5,25,9,16,2,4,1,12,38,29,11,7,22,61,18,32,24,55,28,57,3,52,14,58,34,60,53,36,49,40,45
6,14,48,17,44,52,9,57,11,42,33,49,41,15,50,39,55,35,38,60,2,63,25,29,4,30,10,51,0,1,58,31,26,5,19,20,8,12,46,34,7,21,3,36,45,13,27,59,32,47,28,22,56,62,37,61,40,43,23,53,18,16,54,24
58,47,45,40,49,29,37,21,50,30,16,2,26,34,24,35,5,42,63,6,60,19,44,3,48,33,51,23,54,17,27,12,41,7,56,59,15,13,38,10,0,55,28,32,22,31,25,14,53,36,11,52,1,62,43,39,46,9,20,8,57,4,18,61
63,31,30,26,20,19,61,3,13,8,47,62,42,59,49,41,17,0,27,36,56,48,37,55,46,51,11,7,6,16,40,50,4,18,10,53,29,12,24,25,32,58,15,34,5,35,39,52,1,22,21,60,44,54,38,14,45,57,9,43,2,28,33,23
11,63,3,47,33,37,56,43,51,58,13,31,0,18,8,35,15,44,14,48,54,45,57,39,53,4,40,61,32,7,34,19,5,36,59,50,55,9,16,62,49,17,24,60,52,38,12,28,30,29,21,46,41,42,1,23,6,10,26,25,2,27,20,22
63,10,59,37,27,20,61,58,34,32,15,24,33,54,36,8,31,44,26,60,22,29,35,2,17,7,52,21,57,40,39,28,38,55,25,41,1,45,53,6,12,47,5,43,56,30,19,48,14,18,46,9,49,51,50,3,0,4,16,23,13,11,42,62
51,20,31,17,38,24,28,14,19,35,26,36,2,56,22,7,30,6,41,4,12,3,50,62,60,61,44,33,13,43,18,59,53,52,9,5,34,1,40,37,10,55,46,11,57,29,45,27,23,32,25,63,58,39,0,15,8,54,16,48,42,49,21,47
41,51,63,13,5,56,29,22,25,4,0,50,20,3,9,39,35,61,23,11,34,7,44,54,17,2,62,26,31,14,18,43,21,19,8,45,28,30,59,55,36,1,47,24,60,10,16,58,32,15,57,46,42,49,40,48,53,6,37,33,38,52,12,27
15,9,37,20,24,42,4,53,50,19,10,40,52,46,48,28,30,27,16,45,57,39,0,33,7,31,38,58,17,8,47,61,5,54,12,14,11,23,18,59,35,56,2,1,26,22,3,62,60,34,49,41,55,21,25,13,36,44,29,51,43,63,6,32
11,36,56,50,45,1,51,48,10,18,53,58,17,29,4,63,23,16,19,30,57,61,13,38,55,12,32,3,43,60,5,21,52,34,35,2,37,26,42,0,14,15,24,54,31,25,28,6,44,39,59,40,62,20,9,46,27,41,49,22,47,8,7,33
34,27,6,22,54,9,19,24,58,29,7,21,4,15,13,46,42,41,11,3,39,56,30,23,49,53,20,16,17,18,48,31,25,33,14,63,57,26,52,0,62,45,43,2,55,37,51,12,36,8,40,5,47,44,32,59,28,35,50,1,38,61,60,10
26,18,55,62,15,28,17,53,58,21,31,30,0,57,35,38,8,4,3,25,61,46,19,37,52,10,32,40,1,43,23,2,39,48,27,50,6,9,51,12,54,60,56,24,7,14,41,44,11,42,45,49,5,22,13,59,63,34,33,16,20,47,36,29
28,29,43,51,0,55,60,2,49,62,13,33,52,15,22,35,56,42,57,16,17,6,19,4,11,23,9,37,27,48,41,45,40,21,20,14,47,61,46,10,26,34,58,8,31,7,50,44,12,36,1,25,24,32,3,5,38,53,59,63,54,18,39,30
50,3,40,9,11,7,30,15,39,2,8,27,53,33,12,63,51,1,36,14,44,43,16,32,45,18,55,34,23,21,58,31,49,25,42,26,20,59,6,10,62,41,56,60,24,0,28,17,47,5,46,37,48,35,13,38,61,4,22,19,57,54,29,52
29,57,49,38,45,19,34,16,37,7,12,14,48,13,10,52,63,36,44,50,35,4,61,46,47,9,18,31,22,8,0,56,30,32,40,41,43,54,60,23,27,42,5,17,59,53,1,39,24,51,58,28,26,55,20,2,15,25,21,11,3,33,62,6
45,53,62,63,15,35,57,2,51,27,10,18,26,36,24,44,22,41,61,32,42,1,23,43,5,8,11,4,54,34,21,0,58,14,20,37,40,59,50,31,25,39,6,47,17,16,30,52,46,48,28,56,49,3,33,55,9,60,13,7,12,38,19,29
4,40,45,62,11,57,43,61,39,1,22,29,41,63,15,18,28,9,34,17,8,25,24,33,36,3,37,32,26,20,38,48,58,5,35,16,0,13,6,46,55,23,10,31,47,19,53,7,30,60,59,50,27,56,54,52,49,51,42,44,2,12,14,21
49,6,16,47,43,62,56,45,10,24,54,3,5,46,42,30,37,18,38,50,63,26,28,44,19,57,1,34,60,55,21,59,0,11,9,8,36,25,14,22,51,31,40,48,29,32,13,17,33,41,58,35,4,27,39,61,7,23,2,53,20,15,52,12
42,50,51,4,15,55,9,7,23,5,52,32,49,37,28,3,36,18,29,10,40,11,30,53,33,43,16,24,22,56,41,63,13,2,1,39,0,54,27,20,57,6,58,45,17,62,14,48,26,8,47,25,34,35,19,12,60,21,38,46,61,44,59,31
51,39,9,59,2,52,29,45,48,21,44,60,7,5,63,14,23,34,56,16,58,8,20,11,40,47,43,22,17,28,25,4,57,53,15,12,33,62,6,13,37,41,35,55,38,36,27,31,32,1,26,10,49,3,42,61,24,19,54,18,46,50,0,30
7,29,52,1,11,16,12,10,33,34,55,21,23,48,0,53,43,50,25,56,3,32,59,58,36,14,31,40,13,42,37,54,18,9,45,27,8,44,22,20,39,4,28,15,26,46,30,63,61,17,6,35,2,19,38,47,51,62,24,41,5,60,49,57
52,16,61,49,57,22,35,26,43,18,1,5,54,46,62,3,13,55,51,36,44,10,17,32,8,21,7,58,25,4,31,30,60,14,34,42,38,41,63,50,12,45,59,33,6,37,47,40,2,53,11,48,56,27,0,19,39,29,28,24,9,15,20,23
